,LONGITUDE,LATITUDE
42017,-114.26666667,45.78333333
42018,-114.83333333,45.7
42019,-114.71,45.82166667
42020,-114.215,45.86666667
42021,-114.26666667,45.83333333
42022,-114.86833333,45.71166667
42023,-114.42333333,45.75166667
42024,-114.12166667,45.63666667
42025,-114.10666667,45.59
42026,-114.13333333,45.59
42027,-114.385,45.67166667
42028,-114.39666667,45.70666667
42029,-114.355,45.625
42030,-114.235,45.63666667
42031,-114.40333333,45.71666667
42032,-114.52333333,45.92
42033,-114.42833333,45.94333333
42034,-114.43833333,45.92166667
42035,-114.43833333,45.92166667
42036,-114.59833333,45.92
42037,-114.62333333,45.84
42038,-114.45666667,45.855
42039,-114.41666667,45.90666667
42040,-114.52333333,45.9
42041,-114.50333333,45.91333333
42042,-114.50333333,45.90666667
42043,-114.59,45.95833333
42044,-114.555,45.9
42045,-114.43666667,45.71666667
42046,-114.405,45.685
42047,-114.84166667,45.78333333
42048,-114.47,45.92166667
42049,-114.51333333,45.97166667
42050,-114.475,45.70666667
42051,-114.72333333,45.81166667
42052,-114.705,45.90666667
42053,-114.81666667,45.705
42054,-114.77833333,45.71
42055,-114.89166667,45.68166667
42056,-114.805,45.86166667
42057,-114.80666667,45.71
42058,-114.785,45.67333333
42059,-114.64666667,45.935
42060,-114.69166667,45.84833333
42061,-114.66833333,45.95333333
42062,-114.805,45.84833333
42063,-114.87666667,45.92
42064,-114.855,45.79
42065,-114.81666667,45.68833333
42066,-114.74,45.88333333
42067,-114.07166667,45.62166667
42068,-114.07166667,45.62166667
42069,-114.66833333,45.955
42070,-114.82333333,45.80333333
42071,-114.69166667,45.93833333
42072,-114.56666667,45.91333333
42073,-114.15666667,45.84
42074,-114.61333333,45.855
42075,-114.83833333,45.925
42076,-114.72,45.65333333
42077,-114.74166667,45.7
42078,-114.62333333,45.68833333
42079,-114.75333333,45.655
42080,-116.11666667,47.8
42081,-116.25,47.8
42082,-116.03333333,47.68333333
42083,-116.21666667,47.625
42084,-115.95,47.76666667
42085,-116.86666667,47.85
42086,-116.0,47.75
42087,-115.85,47.8
42088,-116.16666667,47.75
42089,-115.91666667,47.71666667
42090,-116.01666667,47.71666667
42091,-116.15,47.81666667
42092,-116.21666667,47.7
42093,-115.96666667,47.7
42094,-116.1,47.81666667
42095,-116.01666667,47.68333333
42096,-115.96666667,47.76666667
42097,-115.54,47.13166667
42098,-115.91333333,47.13666667
42099,-115.45333333,47.25833333
42100,-115.72833333,46.97333333
42101,-115.76666667,44.19166667
42102,-115.79166667,47.10166667
42103,-115.82833333,47.13
42104,-115.61333333,47.3
42105,-115.35,47.03
42106,-115.77,46.965
42107,-115.66166667,46.96166667
42108,-115.78,47.01
42109,-115.74166667,46.955
42110,-115.68333333,47.12
42111,-115.88333333,47.25833333
42112,-115.805,47.07
42113,-115.77833333,46.96
42114,-115.8,46.98333333
42115,-115.53666667,47.25
42116,-115.52666667,47.24166667
42117,-115.60666667,47.115
42118,-115.54833333,47.27333333
42119,-115.77833333,47.34833333
42120,-115.51666667,47.17166667
42121,-115.48333333,47.28
42122,-115.63166667,47.20333333
42123,-115.46333333,47.19833333
42124,-115.61166667,47.05666667
42125,-115.64833333,47.02666667
42126,-115.82666667,47.24666667
42127,-115.83333333,47.12666667
42128,-115.77833333,47.11666667
42129,-116.56833333,47.44166667
42130,-116.675,47.675
42131,-116.70666667,47.725
42132,-116.72166667,47.73333333
42133,-116.38333333,47.65
42134,-116.60833333,47.49166667
42135,-116.51666667,47.745
42136,-116.58166667,47.525
42137,-116.59166667,47.55833333
42138,-116.57166667,47.79
42139,-116.54833333,47.65833333
42140,-116.11666667,47.11333333
42141,-116.18666667,47.18
42142,-116.125,47.12
42143,-116.14166667,47.10166667
42144,-116.22833333,47.28833333
42145,-116.13333333,47.11666667
42146,-116.11666667,47.09833333
